place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJUyr8-OHJ5zsRs_3FLT-U2XU,Coffee By Di Bella Versova,c0a2fc82bca121a398c32a0d00568902,2,,17 hours ago,2024-02-16 21:00:06.012881,,,,0,29,,False,,
ChIJUyr8-OHJ5zsRs_3FLT-U2XU,Coffee By Di Bella Versova,72b27a5aa80269a3861ab9da799561a8,2,,20 hours ago,2024-02-16 18:00:06.018429,,,,0,29,597,True,,
ChIJUyr8-OHJ5zsRs_3FLT-U2XU,Coffee By Di Bella Versova,f69b5b91ca9d165d381406ad480b7bcd,5,,a week ago,2024-02-10 14:00:06.021431,,,,0,22,58,True,,
ChIJUyr8-OHJ5zsRs_3FLT-U2XU,Coffee By Di Bella Versova,ba5733ceb6bef5df30c2a987ef297121,5,,a week ago,2024-02-10 14:00:06.024457,,,,0,,,,,
ChIJUyr8-OHJ5zsRs_3FLT-U2XU,Coffee By Di Bella Versova,4fb65e20999e3f61686074516767ccd0,4,,2 weeks ago,2024-02-03 14:00:06.026457,,,,0,3,,False,,
ChIJUyr8-OHJ5zsRs_3FLT-U2XU,Coffee By Di Bella Versova,c8218d2103ddeecddef5424f6203db1f,4,Any waffle you order here has to be amazing and in Coffee section hazelnut coffee was great.,2 weeks ago,2024-02-03 14:00:06.029457,"Dear Sagarika, Thank you for your review & ratings... We are happy we lived upto your expectations! Your review really made our day. Thank you for being so appreciative as it matters a lot to our cafe staff who works effortlessly to make our guests happy. Your feedback is very valuable to us and helps us in delivering our promise of serving The Ultimate Coffee Experience. We have taken notes of the points mentioned and assure you that every feedback is looked into with utmost importance. We look forward to welcoming you back in the not too distant future! Regards, Team - Coffee By Di Bella India Do follow us on Social Media to know whats brewing! Facebook: Coffee By Di Bella India Twitter: @coffeebydibellain Instagram: @coffeebydibella Call us on: +919167199555",2 weeks ago,2024-02-03 14:00:06.029457,0,90,264,True,,
ChIJUyr8-OHJ5zsRs_3FLT-U2XU,Coffee By Di Bella Versova,01cf6eac2d208cb73d19a8d596f3ab02,3,,2 weeks ago,2024-02-03 14:00:06.032457,"Dear Rohan, Thank you for your review & ratings... Your feedback is very valuable to us and helps us in delivering our promise of serving The Ultimate Coffee Experience. We have taken notes of the points mentioned and assure you; we are working on the best possible ways to improvise on the same. Once again we appreciate you taking out time for giving us feedback & promise you a pleasant  experience the next time you visit. It would be great if you could share your contact details with us to dwell deeper into your experience, kindly send us your contact details on customerfeedback@coffeebydibella.com We look forward to welcoming you back in the not too distant future! Regards, Team - Coffee By Di Bella India Do follow us on Social Media to know whats brewing! Facebook: Coffee By Di Bella India Twitter: @coffeebydibellain Instagram: @coffeebydibella Call us on: +919167199555",2 weeks ago,2024-02-03 14:00:06.032457,0,12,9,True,,
ChIJUyr8-OHJ5zsRs_3FLT-U2XU,Coffee By Di Bella Versova,d2b586e8736fbdade970538173f34de0,4,Its a good place for a cup of coffee .. snacks are a bit on expensive side...overall ambience is nice ..for working,3 weeks ago,2024-01-27 14:00:06.037457,"Dear Meghna, Thank you for your review & ratings... We are happy we lived upto your expectations! Your review really made our day. Thank you for being so appreciative as it matters a lot to our cafe staff who works effortlessly to make our guests happy. Your feedback is very valuable to us and helps us in delivering our promise of serving The Ultimate Coffee Experience. We have taken notes of the points mentioned and assure you that every feedback is looked into with utmost importance. We look forward to welcoming you back in the not too distant future! Regards, Team - Coffee By Di Bella India Do follow us on Social Media to know whats brewing! Facebook: Coffee By Di Bella India Twitter: @coffeebydibellain Instagram: @coffeebydibella Call us on: +919167199555",2 weeks ago,2024-02-03 14:00:06.037457,0,19,47,True,,
ChIJUyr8-OHJ5zsRs_3FLT-U2XU,Coffee By Di Bella Versova,a1d7067808ce2e4de402f686c918c497,1,,3 weeks ago,2024-01-27 14:00:06.041457,"Dear Mohsin, Thank you for taking out time to give us your feedback. We are saddened we did not quite live upto your expectations! Your feedback is very valuable to us and helps us in delivering our promise of serving The Ultimate Coffee Experience. It is our constant endeavour to maintain the highest levels of service & quality standards. It will be of great value if you could give us an opportunity to dwell deeper into your experience. Kindly send us your contact details on customerfeedback@coffeebydibella.com We look forward to hearing from you. Regards, Team - Coffee By Di Bella India Do follow us on Social Media to know whats brewing! Facebook: Coffee By Di Bella India Twitter: @coffeebydibellain Instagram: @coffeebydibella Call us on: +919167199555",2 weeks ago,2024-02-03 14:00:06.041457,0,17,111,True,,
ChIJUyr8-OHJ5zsRs_3FLT-U2XU,Coffee By Di Bella Versova,fb17c6555201d2ca1befc25b41b2eca9,5,Excellent,3 weeks ago,2024-01-27 14:00:06.044459,"Dear Naveed, Thank you for your review & ratings... We are happy we lived upto your expectations! Your review really made our day. Thank you for being so appreciative as it matters a lot to our cafe staff who works effortlessly to make our guests happy. Your feedback is very valuable to us and helps us in delivering our promise of serving The Ultimate Coffee Experience. We have taken notes of the points mentioned and assure you that every feedback is looked into with utmost importance. We look forward to welcoming you back in the not too distant future! Regards, Team - Coffee By Di Bella India Do follow us on Social Media to know whats brewing! Facebook: Coffee By Di Bella India Twitter: @coffeebydibellain Instagram: @coffeebydibella Call us on: +919167199555",9 months ago,2023-05-17 14:00:06.044459,1,345,1146,True,,
